2023-04-04/17:26:48		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:26:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:26:50		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:26:50		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:26:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:26:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:26:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:26:54		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:26:55		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-04-04/17:29:35		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:29:36		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:29:37		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:29:38		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:29:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:29:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:29:41		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:29:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:29:42		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-04-04/17:34:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:34:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:34:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:34:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:34:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:34:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:34:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:34:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:34:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-04-04/17:36:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:36:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:36:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:36:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:36:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:36:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:37:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:37:01		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:37:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-04-04/17:37:52		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:37:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:37:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:37:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:37:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:37:55		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:37:57		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:37:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:37:58		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-04-04/17:39:11		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:39:12		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:39:12		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:39:13		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:39:14		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:39:15		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:39:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:39:17		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:39:17		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-04-04/17:43:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-04-04/17:43:26		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-04-04/17:43:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-04-04/17:43:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-04-04/17:43:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-04-04/17:43:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-04-04/17:43:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-04-04/17:43:31		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-04-04/17:43:32		 wafer_29012020_050617.csv: File Transformed successfully!!
